timestamp, memory.used [MiB]
2025/10/28 06:07:56.995, 47190 MiB
2025/10/28 06:07:56.995, 46958 MiB
2025/10/28 06:07:56.995, 45628 MiB
2025/10/28 06:07:56.995, 45708 MiB
2025/10/28 06:08:56.996, 47072 MiB
2025/10/28 06:08:56.996, 46650 MiB
2025/10/28 06:08:56.997, 41878 MiB
2025/10/28 06:08:56.997, 41724 MiB
2025/10/28 06:08:56.997, 47190 MiB
2025/10/28 06:08:56.997, 46958 MiB
2025/10/28 06:08:56.997, 45628 MiB
2025/10/28 06:08:56.997, 45708 MiB
2025/10/28 06:09:56.998, 47072 MiB
2025/10/28 06:09:56.998, 46650 MiB
2025/10/28 06:09:56.998, 41878 MiB
2025/10/28 06:09:56.998, 41724 MiB
2025/10/28 06:09:56.998, 47190 MiB
2025/10/28 06:09:56.998, 46958 MiB
2025/10/28 06:09:56.998, 41340 MiB
2025/10/28 06:09:56.998, 45708 MiB
2025/10/28 06:10:56.999, 47072 MiB
2025/10/28 06:10:56.999, 46650 MiB
2025/10/28 06:10:56.999, 41878 MiB
2025/10/28 06:10:56.999, 41724 MiB
2025/10/28 06:10:56.999, 47190 MiB
2025/10/28 06:10:56.999, 46958 MiB
2025/10/28 06:10:56.999, 42060 MiB
2025/10/28 06:10:56.999, 45708 MiB
2025/10/28 06:11:57.000, 47072 MiB
2025/10/28 06:11:57.000, 46650 MiB
2025/10/28 06:11:57.001, 41878 MiB
2025/10/28 06:11:57.001, 41724 MiB
2025/10/28 06:11:57.001, 47190 MiB
2025/10/28 06:11:57.001, 46958 MiB
2025/10/28 06:11:57.001, 42060 MiB
2025/10/28 06:11:57.001, 45708 MiB
2025/10/28 06:12:57.001, 47078 MiB
2025/10/28 06:12:57.001, 46650 MiB
2025/10/28 06:12:57.001, 41878 MiB
2025/10/28 06:12:57.001, 41724 MiB
2025/10/28 06:12:57.001, 47190 MiB
2025/10/28 06:12:57.002, 46958 MiB
2025/10/28 06:12:57.002, 42060 MiB
2025/10/28 06:12:57.002, 45714 MiB
2025/10/28 06:13:57.002, 47078 MiB
2025/10/28 06:13:57.002, 46650 MiB
2025/10/28 06:13:57.002, 41878 MiB
2025/10/28 06:13:57.002, 41724 MiB
2025/10/28 06:13:57.002, 47190 MiB
2025/10/28 06:13:57.002, 46958 MiB
2025/10/28 06:13:57.002, 42060 MiB
2025/10/28 06:13:57.002, 45714 MiB
2025/10/28 06:14:57.004, 47078 MiB
2025/10/28 06:14:57.004, 46656 MiB
2025/10/28 06:14:57.004, 41878 MiB
2025/10/28 06:14:57.004, 41724 MiB
2025/10/28 06:14:57.004, 47196 MiB
2025/10/28 06:14:57.004, 46958 MiB
2025/10/28 06:14:57.004, 42060 MiB
2025/10/28 06:14:57.004, 45714 MiB
2025/10/28 06:15:57.005, 271 MiB
2025/10/28 06:15:57.005, 279 MiB
2025/10/28 06:15:57.005, 389 MiB
2025/10/28 06:15:57.005, 281 MiB
2025/10/28 06:15:57.005, 277 MiB
2025/10/28 06:15:57.005, 275 MiB
2025/10/28 06:15:57.005, 313 MiB
2025/10/28 06:15:57.005, 271 MiB
2025/10/28 06:16:57.006, 271 MiB
2025/10/28 06:16:57.006, 279 MiB
2025/10/28 06:16:57.006, 389 MiB
2025/10/28 06:16:57.006, 281 MiB
2025/10/28 06:16:57.006, 277 MiB
2025/10/28 06:16:57.006, 275 MiB
2025/10/28 06:16:57.006, 313 MiB
2025/10/28 06:16:57.006, 271 MiB
2025/10/28 06:17:57.007, 271 MiB
2025/10/28 06:17:57.007, 279 MiB
2025/10/28 06:17:57.007, 389 MiB
2025/10/28 06:17:57.007, 281 MiB
2025/10/28 06:17:57.007, 277 MiB
2025/10/28 06:17:57.007, 275 MiB
2025/10/28 06:17:57.007, 313 MiB
2025/10/28 06:17:57.007, 271 MiB
2025/10/28 06:18:57.008, 14352 MiB
2025/10/28 06:18:57.008, 14366 MiB
2025/10/28 06:18:57.008, 14470 MiB
2025/10/28 06:18:57.008, 14362 MiB
2025/10/28 06:18:57.008, 14358 MiB
2025/10/28 06:18:57.008, 14356 MiB
2025/10/28 06:18:57.008, 14394 MiB
2025/10/28 06:18:57.008, 14352 MiB
2025/10/28 06:19:57.009, 16246 MiB
2025/10/28 06:19:57.009, 16254 MiB
2025/10/28 06:19:57.009, 16338 MiB
2025/10/28 06:19:57.009, 16230 MiB
2025/10/28 06:19:57.009, 16226 MiB
2025/10/28 06:19:57.009, 16224 MiB
2025/10/28 06:19:57.009, 16262 MiB
2025/10/28 06:19:57.009, 16246 MiB
2025/10/28 06:20:57.010, 16246 MiB
2025/10/28 06:20:57.010, 16254 MiB
2025/10/28 06:20:57.011, 16338 MiB
2025/10/28 06:20:57.011, 16230 MiB
